@RELATION POS_TAG
@ATTRIBUTE text string
@ATTRIBUTE pre_tag {ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X, NULL}
@ATTRIBUTE class {ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X}

@DATA
Sembungan,NULL,PROPN
adalah,PROPN,AUX
sebuah,AUX,DET
desa,DET,NOUN
yang,NOUN,PRON
terletak,PRON,VERB
di,VERB,ADP
kecamatan,ADP,NOUN
Kejajar,NOUN,PROPN
(koma),PROPN,PUNCT
kabupaten,PUNCT,NOUN
Wonosobo,NOUN,PROPN
(koma),PROPN,PUNCT
Jawa,PUNCT,PROPN
Tengah,PROPN,PROPN
(koma),PROPN,PUNCT
Indonesia,PUNCT,PROPN
(titik),PROPN,PUNCT
Sebuah,NULL,DET
serangan,DET,NOUN
pengayauan,NOUN,NOUN
biasanya,NOUN,ADV
terjadi,ADV,VERB
di,VERB,ADP
ladang,ADP,NOUN
atau,NOUN,CCONJ
dengan,CCONJ,ADP
membakar,ADP,VERB
sebuah,VERB,DET
rumah,DET,NOUN
dan,NOUN,CCONJ
memenggal,CCONJ,VERB
semua,VERB,DET
penghuninya,DET,NOUN
ketika,NOUN,SCONJ
mereka,SCONJ,PRON
melarikan,PRON,VERB
diri,VERB,NOUN
(titik),NOUN,PUNCT
Perkembangan,NULL,NOUN
ini,NOUN,DET
diikuti,DET,VERB
oleh,VERB,ADP
helm,ADP,NOUN
Brodie,NOUN,PROPN
yang,PROPN,PRON
dipakai,PRON,VERB
tentara,VERB,NOUN
Imperium,NOUN,PROPN
Britania,PROPN,PROPN
dan,PROPN,CCONJ
AS,CCONJ,PROPN
(koma),PROPN,PUNCT
dan,PUNCT,CCONJ
pada,CCONJ,ADP
tahun,ADP,NOUN
1916,NOUN,NUM
oleh,NUM,ADP
Stahlhelm,ADP,PROPN
Jerman,PROPN,PROPN
dengan,PROPN,ADP
perbaikan,ADP,NOUN
desain,NOUN,NOUN
yang,NOUN,PRON
masih,PRON,ADV
dipakai,ADV,VERB
sampai,VERB,ADP
sekarang,ADP,NOUN
(titik),NOUN,PUNCT
Dari,NULL,ADP
jarak,ADP,NOUN
dekat,NOUN,ADJ
(koma),ADJ,PUNCT
dua,PUNCT,NUM
kapal,NUM,NOUN
perusak,NOUN,NOUN
(koma),NOUN,PUNCT
Sterett,PUNCT,PROPN
dan,PROPN,CCONJ
O,CCONJ,PROPN
(petiksatu),PROPN,PUNCT
Bannon,PUNCT,PROPN
menembakkan,PROPN,VERB
beberapa,VERB,DET
kali,DET,NOUN
salvo,NOUN,NOUN
ke,NOUN,ADP
bangunan,ADP,NOUN
atas,NOUN,ADP
kapal,ADP,NOUN
Hiei,NOUN,PROPN
(titik),PROPN,PUNCT
Sebelum,PUNCT,SCONJ
melarikan,SCONJ,VERB
diri,VERB,NOUN
ke,NOUN,ADP
dalam,ADP,ADP
kegelapan,ADP,NOUN
(koma),NOUN,PUNCT
keduanya,PUNCT,NOUN
mungkin,NOUN,ADV
sempat,ADV,ADV
menyarangkan,ADV,VERB
satu,VERB,NUM
atau,NUM,CCONJ
dua,CCONJ,NUM
buah,NUM,NOUN
torpedo,NOUN,NOUN
ke,NOUN,ADP
bagian,ADP,NOUN
lambung,NOUN,NOUN
kapal,NOUN,NOUN
Hiei,NOUN,PROPN
hingga,PROPN,ADP
makin,ADP,ADV
memperparah,ADV,VERB
kerusakan,VERB,NOUN
(titik),NOUN,PUNCT
Angka,NULL,PROPN
harapan,PROPN,NOUN
hidup,NOUN,NOUN
adalah,NOUN,AUX
73,AUX,NUM
(koma),NUM,PUNCT
4,PUNCT,NUM
tahun,NUM,NOUN
(koma),NOUN,PUNCT
yakni,PUNCT,ADP
di,ADP,ADP
bawah,ADP,NOUN
rerata,NOUN,NOUN
Uni,NOUN,PROPN
Eropa,PROPN,PROPN
(titik),PROPN,PUNCT
Pasukan,NULL,PROPN
Mongol,PROPN,PROPN
yang,PROPN,PRON
tidak,PRON,ADV
tahu,ADV,VERB
apa,VERB,NOUN
yang,NOUN,PRON
harus,PRON,ADV
mereka,ADV,PRON
perbuat,PRON,VERB
itu,VERB,DET
disiasati,DET,VERB
oleh,VERB,ADP
Raden,ADP,PROPN
Wijaya,PROPN,PROPN
untuk,PROPN,ADP
membantunya,ADP,VERB
memberontak,VERB,VERB
melawan,VERB,ADP
kerajaan,ADP,PROPN
Kediri,PROPN,PROPN
(titik),PROPN,PUNCT
Krogh,NULL,PROPN
juga,PROPN,ADV
yang,ADV,PRON
pertama,PRON,ADJ
kali,ADJ,NOUN
membuat,NOUN,VERB
studi,VERB,NOUN
perbandingan,NOUN,NOUN
pada,NOUN,ADP
hewan,ADP,NOUN
(titik),NOUN,PUNCT
Lagu,NULL,PROPN
ini,PROPN,DET
kemudian,DET,ADV
ditampilkan,ADV,VERB
sebagai,VERB,ADP
lagu,ADP,NOUN
utama,NOUN,ADJ
dalam,ADJ,ADP
rilisan,ADP,NOUN
EP,NOUN,PROPN
(bukakurung),PROPN,PUNCT
Extended,PUNCT,PROPN
Play,PROPN,PROPN
(tutupkurung),PROPN,PUNCT
(koma),PUNCT,PUNCT
Moshi,PUNCT,PROPN
Moshi,PROPN,PROPN
Harajuku,PROPN,PROPN
(koma),PROPN,PUNCT
dan,PUNCT,CCONJ
album,CCONJ,NOUN
(petikdua),NOUN,PUNCT
Pamyu,PUNCT,PROPN
Pamyu,PROPN,PROPN
Revolution,PROPN,PROPN
(petikdua),PROPN,PUNCT
(titik),PUNCT,PUNCT
Maka,NULL,SCONJ
dimulailah,SCONJ,VERB
suatu,VERB,DET
gerakan,DET,NOUN
yang,NOUN,PRON
bertujuan,PRON,VERB
membentuk,VERB,VERB
kelompok,VERB,NOUN
pendidikan,NOUN,NOUN
(titik),NOUN,PUNCT
Cikal,NULL,NOUN
bakal,NOUN,NOUN
Lembaga,NOUN,PROPN
Pendidikan,PROPN,PROPN
ini,PROPN,DET
dirintis,DET,VERB
oleh,VERB,ADP
beberapa,ADP,DET
ulama,DET,NOUN
terdahulu,NOUN,ADJ
di,ADJ,ADP
antaranya,ADP,ADP
oleh,ADP,ADP
almarhum,ADP,NOUN
Bapak,NOUN,PROPN
M,PROPN,PROPN
(titik),PROPN,PUNCT
Basith,PUNCT,PROPN
yang,PROPN,PRON
kegiatan,PRON,NOUN
belajar,NOUN,NOUN
mengajarnya,NOUN,VERB
bermula,VERB,VERB
di,VERB,ADP
Musholla,ADP,PROPN
Taqwa,PROPN,PROPN
Muaradua,PROPN,PROPN
sejak,PROPN,ADP
pengujung,ADP,NOUN
tahun,NOUN,NOUN
(petiksatu),NOUN,PUNCT
70,PUNCT,NUM
(kurang),NUM,PUNCT
an,PUNCT,NUM
(titik),NUM,PUNCT
Demikian,NULL,PRON
juga,PRON,ADV
bagi,ADV,ADP
sebagian,ADP,DET
besar,DET,ADJ
kalangan,ADJ,NOUN
masyarakat,NOUN,NOUN
yang,NOUN,PRON
menganggap,PRON,VERB
bahwa,VERB,SCONJ
pemerintahan,SCONJ,NOUN
di,NOUN,ADP
Amerika,ADP,PROPN
Serikat,PROPN,PROPN
terlalu,PROPN,ADV
birokratis,ADV,ADJ
(titik),ADJ,PUNCT
Aliran,NULL,NOUN
ini,NOUN,DET
memiliki,DET,VERB
ajaran,VERB,NOUN
yang,NOUN,PRON
bervariasi,PRON,VERB
mengenai,VERB,PUNCT
Kristologi,PUNCT,PROPN
Yesus,PROPN,PROPN
(titikdua),PROPN,PUNCT
Doketisme,PUNCT,NOUN
merupakan,NOUN,VERB
salah,VERB,ADJ
satu,ADJ,NUM
aliran,NUM,NOUN
dari,NOUN,ADP
Gnostisisme,ADP,PROPN
yang,PROPN,PRON
ada,PRON,VERB
pada,VERB,ADP
saat,ADP,NOUN
itu,NOUN,DET
(titik),DET,PUNCT
Santa,NULL,PROPN
Fe,PROPN,PROPN
adalah,PROPN,AUX
sebuah,AUX,DET
kotamadya,DET,NOUN
di,NOUN,ADP
Vega,ADP,PROPN
de,PROPN,PROPN
Granada,PROPN,PROPN
(koma),PROPN,PUNCT
Granada,PUNCT,PROPN
(koma),PROPN,PUNCT
Spanyol,PUNCT,PROPN
(koma),PROPN,PUNCT
dialiri,PUNCT,VERB
oleh,VERB,ADP
Sungai,ADP,PROPN
Genil,PROPN,PROPN
(titik),PROPN,PUNCT
Kapal,NULL,NOUN
ini,NOUN,DET
didesain,DET,VERB
sebagai,VERB,ADP
kapal,ADP,NOUN
serang,NOUN,VERB
berkecapatan,VERB,VERB
tinggi,VERB,ADJ
(koma),ADJ,PUNCT
untuk,PUNCT,ADP
mencapai,ADP,VERB
itu,VERB,NOUN
maka,NOUN,SCONJ
badan,SCONJ,NOUN
kapal,NOUN,NOUN
dibuat,NOUN,VERB
dari,VERB,ADP
Aluminium,ADP,PROPN
sehingga,PROPN,ADP
bisa,ADP,ADV
lebih,ADV,ADV
ringan,ADV,ADJ
selain,ADJ,ADP
itu,ADP,NOUN
untuk,NOUN,ADP
mencapai,ADP,VERB
kecepatan,VERB,NOUN
tinggi,NOUN,ADJ
kapal,ADJ,NOUN
ini,NOUN,DET
dilengkapi,DET,VERB
dengan,VERB,ADP
mesin,ADP,NOUN
gas,NOUN,NOUN
turbin,NOUN,NOUN
General,NOUN,PROPN
Electric,PROPN,PROPN
LM,PROPN,PROPN
1500,PROPN,NUM
selain,NUM,ADP
2,ADP,NUM
buah,NUM,NOUN
mesin,NOUN,NOUN
diesel,NOUN,NOUN
untuk,NOUN,ADP
kecepatan,ADP,NOUN
rendah,NOUN,ADJ
(titik),ADJ,PUNCT
Partai,NULL,PROPN
ini,PROPN,DET
didirikan,DET,VERB
pada,VERB,ADP
bulan,ADP,PROPN
Desember,PROPN,PROPN
1945,PROPN,NUM
di,NUM,ADP
Purwakarta,ADP,PROPN
(titik),PROPN,PUNCT
Tidak,NULL,PART
ada,PART,VERB
keterangan,VERB,NOUN
kejatuhan,NOUN,NOUN
Yerusalem,NOUN,PROPN
(bukakurung),PROPN,PUNCT
berbeda,PUNCT,VERB
dengan,VERB,ADP
kota,ADP,NOUN
(kurang),NOUN,PUNCT
kota,PUNCT,NOUN
lain,NOUN,ADJ
(tutupkurung),ADJ,PUNCT
maupun,PUNCT,CCONJ
gagalnya,CCONJ,NOUN
Sanherib,NOUN,NOUN
merebut,NOUN,VERB
Yerusalem,VERB,NOUN
(titik),NOUN,PUNCT
Bang,NULL,PROPN
Yong,PROPN,PROPN
Guk,PROPN,PROPN
berkomentar,PROPN,VERB
(koma),VERB,PUNCT
(petikdua),PUNCT,PUNCT
Tujuan,PUNCT,NOUN
saya,NOUN,PRON
dari,PRON,ADP
awal,ADP,ADJ
tidak,ADJ,PART
menjadi,PART,VERB
penyanyi,VERB,NOUN
K,NOUN,PROPN
(kurang),PROPN,PUNCT
pop,PUNCT,PROPN
(titik),PROPN,PUNCT
Lambda,NULL,PROPN
Indonesia,PROPN,PROPN
dan,PROPN,CCONJ
organisasi,CCONJ,NOUN
sejenis,NOUN,NOUN
lainnya,NOUN,ADJ
bermunculan,ADJ,VERB
pada,VERB,ADP
akhir,ADP,NOUN
tahun,NOUN,NOUN
1980,NOUN,NUM
(kurang),NUM,PUNCT
an,PUNCT,NUM
dan,NUM,CCONJ
1990,CCONJ,NUM
(kurang),NUM,PUNCT
an,PUNCT,NUM
(titik),NUM,PUNCT
Kota,NULL,NOUN
ini,NOUN,DET
letaknya,DET,NOUN
di,NOUN,ADP
bagian,ADP,NOUN
utara,NOUN,NOUN
(titik),NOUN,PUNCT
Apa,NULL,NOUN
yang,NOUN,PRON
ia,PRON,PRON
lakukan,PRON,VERB
(koma),VERB,PUNCT
dan,PUNCT,CCONJ
mengapa,CCONJ,NOUN
ia,NOUN,PRON
melakukannya,PRON,VERB
(tanya),VERB,PUNCT
Soa,NULL,PROPN
Sahertian,PROPN,PROPN
(koma),PROPN,PUNCT
Soa,PUNCT,PROPN
Tetelepta,PROPN,PROPN
(koma),PROPN,PUNCT
Soa,PUNCT,PROPN
Polnaya,PROPN,PROPN
(koma),PROPN,PUNCT
Soa,PUNCT,PROPN
Wattimury,PROPN,PROPN
(koma),PROPN,PUNCT
Soa,PUNCT,PROPN
Latuihamallo,PROPN,PROPN
(koma),PROPN,PUNCT
dan,PUNCT,CCONJ
Soa,CCONJ,PROPN
Aponno,PROPN,PROPN
(titik),PROPN,PUNCT
Apakah,NULL,NOUN
gelasnya,NOUN,NOUN
setengah,NOUN,ADJ
kosong,ADJ,ADJ
atau,ADJ,CCONJ
setengah,CCONJ,ADJ
penuh,ADJ,ADJ
(tanya),ADJ,PUNCT
Itulah,NULL,DET
sekilas,DET,NOUN
wajah,NOUN,NOUN
(slice),NOUN,SYM
cermin,SYM,NOUN
desa,NOUN,NOUN
Mundu,NOUN,PROPN
(titik),PROPN,PUNCT
Bagaimana,NULL,ADV
bisa,ADV,ADV
kita,ADV,PRON
tidak,PRON,PART
mengungkapkan,PART,VERB
kesedihan,VERB,NOUN
yang,NOUN,PRON
mendalam,PRON,ADJ
akan,ADJ,ADV
semua,ADV,DET
hal,DET,NOUN
ini,NOUN,DET
(tanya),DET,PUNCT
Pdt,NULL,PROPN
(titik),PROPN,PUNCT
Fecki,PUNCT,PROPN
merupakan,PROPN,VERB
Pemimpin,VERB,PROPN
Umum,PROPN,PROPN
(slice),PROPN,SYM
Redaksi,SYM,PROPN
Renungan,PROPN,PROPN
Harian,PROPN,PROPN
Anggur,PROPN,PROPN
Baru,PROPN,PROPN
(titik),PROPN,PUNCT
Ia,PUNCT,PRON
menjabat,PRON,VERB
sebagai,VERB,ADP
Sekretaris,ADP,NOUN
II,NOUN,NUM
BPH,NUM,NOUN
Sinode,NOUN,NOUN
Gereja,NOUN,NOUN
Bethel,NOUN,PROPN
Indonesia,PROPN,PROPN
untuk,PROPN,ADP
periode,ADP,NOUN
2008,NOUN,NUM
(kurang),NUM,PUNCT
2012,PUNCT,NUM
(titik),NUM,PUNCT
Lelaki,NULL,PROPN
dan,PROPN,CCONJ
Telaga,CCONJ,PROPN
adalah,PROPN,AUX
album,AUX,NOUN
solo,NOUN,NOUN
Franky,NOUN,PROPN
Sahilatua,PROPN,PROPN
yang,PROPN,PRON
berisi,PRON,VERB
tiga,VERB,NUM
lagu,NUM,NOUN
baru,NOUN,ADJ
(bukakurung),ADJ,PUNCT
(petikdua),PUNCT,PUNCT
Lelaki,PUNCT,PROPN
dan,PROPN,CCONJ
Telaga,CCONJ,PROPN
(petikdua),PROPN,PUNCT
(koma),PUNCT,PUNCT
(petikdua),PUNCT,PUNCT
Hitam,PUNCT,PROPN
Putih,PROPN,PROPN
(petikdua),PROPN,PUNCT
(koma),PUNCT,PUNCT
dan,PUNCT,CCONJ
(petikdua),CCONJ,PUNCT
