@RELATION POS_TAG
@ATTRIBUTE text string
@ATTRIBUTE pre_word string
@ATTRIBUTE class {ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X}

@DATA
Sembungan,NULL,PROPN
adalah,Sembungan,AUX
sebuah,adalah,DET
desa,sebuah,NOUN
yang,desa,PRON
terletak,yang,VERB
di,terletak,ADP
kecamatan,di,NOUN
Kejajar,kecamatan,PROPN
(koma),Kejajar,PUNCT
kabupaten,(koma),NOUN
Wonosobo,kabupaten,PROPN
(koma),Wonosobo,PUNCT
Jawa,(koma),PROPN
Tengah,Jawa,PROPN
(koma),Tengah,PUNCT
Indonesia,(koma),PROPN
(titik),Indonesia,PUNCT
Sebuah,NULL,DET
serangan,Sebuah,NOUN
pengayauan,serangan,NOUN
biasanya,pengayauan,ADV
terjadi,biasanya,VERB
di,terjadi,ADP
ladang,di,NOUN
atau,ladang,CCONJ
dengan,atau,ADP
membakar,dengan,VERB
sebuah,membakar,DET
rumah,sebuah,NOUN
dan,rumah,CCONJ
memenggal,dan,VERB
semua,memenggal,DET
penghuninya,semua,NOUN
ketika,penghuninya,SCONJ
mereka,ketika,PRON
melarikan,mereka,VERB
diri,melarikan,NOUN
(titik),diri,PUNCT
Perkembangan,NULL,NOUN
ini,Perkembangan,DET
diikuti,ini,VERB
oleh,diikuti,ADP
helm,oleh,NOUN
Brodie,helm,PROPN
yang,Brodie,PRON
dipakai,yang,VERB
tentara,dipakai,NOUN
Imperium,tentara,PROPN
Britania,Imperium,PROPN
dan,Britania,CCONJ
AS,dan,PROPN
(koma),AS,PUNCT
dan,(koma),CCONJ
pada,dan,ADP
tahun,pada,NOUN
1916,tahun,NUM
oleh,1916,ADP
Stahlhelm,oleh,PROPN
Jerman,Stahlhelm,PROPN
dengan,Jerman,ADP
perbaikan,dengan,NOUN
desain,perbaikan,NOUN
yang,desain,PRON
masih,yang,ADV
dipakai,masih,VERB
sampai,dipakai,ADP
sekarang,sampai,NOUN
(titik),sekarang,PUNCT
Dari,NULL,ADP
jarak,Dari,NOUN
dekat,jarak,ADJ
(koma),dekat,PUNCT
dua,(koma),NUM
kapal,dua,NOUN
perusak,kapal,NOUN
(koma),perusak,PUNCT
Sterett,(koma),PROPN
dan,Sterett,CCONJ
O,dan,PROPN
(petiksatu),O,PUNCT
Bannon,(petiksatu),PROPN
menembakkan,Bannon,VERB
beberapa,menembakkan,DET
kali,beberapa,NOUN
salvo,kali,NOUN
ke,salvo,ADP
bangunan,ke,NOUN
atas,bangunan,ADP
kapal,atas,NOUN
Hiei,kapal,PROPN
(titik),Hiei,PUNCT
Sebelum,(titik),SCONJ
melarikan,Sebelum,VERB
diri,melarikan,NOUN
ke,diri,ADP
dalam,ke,ADP
kegelapan,dalam,NOUN
(koma),kegelapan,PUNCT
keduanya,(koma),NOUN
mungkin,keduanya,ADV
sempat,mungkin,ADV
menyarangkan,sempat,VERB
satu,menyarangkan,NUM
atau,satu,CCONJ
dua,atau,NUM
buah,dua,NOUN
torpedo,buah,NOUN
ke,torpedo,ADP
